Date,Time,Day,Hour,Subject,Text
2018-07-12 12:31:08,12:31:08,Thurs,12,Your IBM Application,"Ref: 110127BR - 2018 Data Scientist Internship

Dear Conor,

We want to thank you for the investment of your time in exploring
career opportunities with IBM. With reference to the application for
the above position, we regret to inform you that at this time IBM is
pursuing other candidates whose expertise is more closely aligned to
the job requirements.

In keeping with our company policies, your application will be kept
active in our system for other IBM Recruiters to review for 12 months
(or 6 months for residents of Germany and Austria).

We highly encourage you to consider other opportunities at IBM and hope
that you have continued interest in a career with us.

Sincerely,

IBM Early Professional Recruitment Team
"
2018-06-12 16:30:28,16:30:28,Tues,16,Thank you from Workday!,"<!doctype html><html xmlns:o=3D""urn:schemas-microsoft-com:office:office"" xm=
lns:v=3D""urn:schemas-microsoft-com:vml"">
<head>
<META http-equiv=3D""Content-Type"" content=3D""text/html; charset=3DUTF-8"">
<title></title>
<style type=3D""text/css"">body, table {
  font-family: Verdana, Arial, sans-serif;
  font-size: 12px; width:100%;
}
div {
  padding-top:5px;
  padding-bottom:5px;
}
img=20
{
  border:0px;
}</style>
</head>
<body><div>
<div style=3D""margin: 0; padding: 0; background: #68C8EB;""> <table border=
=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" width=3D""100%""> <tr> <td> <table=
 align=3D""center"" border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" style=3D=
""max-width:600px;text-overflow:hidden;""> <tr> <td style=3D""padding:72px 0px=
 0px 0px""> <img src=3D""http://www.workdaylabs.net/public/email/img/header.p=
ng"" alt=3D""Workday"" width=3D""100%"" style=3D""max-height:143px;display: block=
;"" /> </td> </tr> <tr> <td bgcolor=3D""#FFFFFF"" style=3D""padding: 20px 55px =
30px 55px;""> <table border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" width=
=3D""100%""> <tr> <td style=3D""color:#4BAEE2; font-size:19px;font-family: Ari=
al, sans-serif;max-width:420px;""> <b>
</div><div>
</b> </td> </tr> <tr> <td style=3D""padding: 0px 0px 20px 0px;line-height:20=
px;color:#616161;font-family: Arial, sans-serif;font-size:14px;max-width:42=
0px;"">
</div><div>
Hi Conor , <br/><br/>Thank you for your interest in Workday. Unfortunately,=
 we are sorry to inform you that the team has identified others for the pos=
ition of Data Scientist Intern and will not be moving forward with your app=
lication. <br/><br/>You may have applied to other positions at Workday; our=
 decision for this application will not remove you from consideration for a=
ny other positions you may have applied for. You will receive a separate em=
ail from us about any other applications that we have on file.<br>
<br>We appreciate your interest and application and hope you=E2=80=99ll con=
tinue to consider us for employment. To stay up to date with our job openin=
gs, go to <a href=3D""https://www.workday.com/en-us/company/careers.html"">wo=
rkday.com/careers</a>.<br>
<br>Thanks again for your interest in Workday, and we wish you success in y=
our job search!<br>
<br>Sincerely,<br>Workday Recruiting
</div><div>
<a href=3D""http://www.workday.com/company/careers.php"">Careers at Workday</=
a>
</div><div>
</td> </tr></table> </td> </tr> <tr> <td> <img src=3D""http://www.workdaylab=
s.net/public/email/img/footer.png"" alt=3D""Workday"" width=3D""100%"" style=3D""=
max-height:6px;display: block;"" /> </td> </tr> <tr> <td align=3D""center"" st=
yle=3D""padding: 20px 10px 10px 10px; color: #FFFFFF;line-height:20px""> <spa=
n style=3D""display:block;max-width:400px;font-family: Arial, sans-serif;fon=
t-size:14px;""> This is a post only email. Please do not reply to this messa=
ge. This email address is not monitored for responses. </span><br /><br /> =
</td> </tr> </table> </td> </tr> </table> </div>
</div>
=09     <div>
=09    <!--[if mso | IE]>
=09      <table border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" width=3D""6=
00"" align=3D""center"" style=3D""width:600px;"">
=09        <tr>
=09          <td style=3D""line-height:0px;font-size:0px;mso-line-height-rul=
e:exactly;"">
=09      <![endif]-->
=09    <div style=3D""margin:0 auto;max-width:600px;"">
=09      <table cellpadding=3D""0"" cellspacing=3D""0"" style=3D""font-size:0px;=
width:100%;"" align=3D""center"" border=3D""0"">
=09        <tbody>
=09          <tr>
=09            <td style=3D""text-align:center;vertical-align:top;font-size:=
0px;padding:20px 0px;""></td>
=09          </tr>
=09        </tbody>
=09      </table>
=09    </div>
=09    <!--[if mso | IE]>
=09      </td></tr></table>
=09      <![endif]-->
=09    <!--[if mso | IE]>
=09      <table border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" width=3D""6=
00"" align=3D""center"" style=3D""width:600px;"">
=09        <tr>
=09          <td style=3D""line-height:0px;font-size:0px;mso-line-height-rul=
e:exactly;"">
=09      <![endif]-->
=09    <div style=3D""margin:0 auto;max-width:600px;"">
=09      <table cellpadding=3D""0"" cellspacing=3D""0"" style=3D""font-size:0px;=
width:100%;"" align=3D""center"" border=3D""0"">
=09        <tbody>
=09          <tr>
=09            <td style=3D""text-align:center;vertical-align:top;font-size:=
0px;padding:20px 0px;""></td>
=09          </tr>
=09        </tbody>
=09      </table>
=09    </div>
=09    <!--[if mso | IE]>
=09      </td></tr></table>
=09      <![endif]-->
      <!--[if mso | IE]>
=09      <table border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0"" width=3D""6=
00"" align=3D""center"" style=3D""width:600px;"">
=09        <tr>
=09          <td style=3D""line-height:0px;font-size:0px;mso-line-height-rul=
e:exactly;"">
=09      <![endif]--><div xmlns:wd=3D""urn:com.workday/bsvc"" style=3D""margin=
:0 auto;max-width:600px;"">
<table border=3D""0"" align=3D""center"" style=3D""font-size:0px;width:100%;"" ce=
llspacing=3D""0"" cellpadding=3D""0"">
<tbody>
<tr>
<td style=3D""text-align:center;vertical-align:top;font-size:0px;padding:20p=
x 0px;"">
<!--[if mso | IE]>
=09 <table border=3D""0"" cellpadding=3D""0"" cellspacing=3D""0""><tr><td style=
=3D""vertical-align:top;width:600px;"">
=09      <![endif]-->
<div style=3D""vertical-align:top;display:inline-block;font-size:13px;text-a=
lign:left;width:100%;"" class=3D""mj-column-per-100"" aria-labelledby=3D""mj-co=
lumn-per-100"">
<table border=3D""0"" width=3D""100%"" cellspacing=3D""0"" cellpadding=3D""0"">
<tbody>
<tr>
<td align=3D""center"" style=3D""word-break:break-word;font-size:0px;padding-b=
ottom:0px;"">
<div style=3D""cursor:auto;color:#98a0a6;font-family:Roboto;font-size:12px;f=
ont-weight:400;line-height:22px;"">This email was intended for cdewey96@vt.e=
du</div>
</td>
</tr>
</tbody>
</table>
</div>
<!--[if mso | IE]>
=09      </td></tr></table>
=09      <![endif]-->
</td>
</tr>
</tbody>
</table>
</div>
<!--[if mso | IE]>
=09      </td></tr></table>
=09      <![endif]-->
</body>
</html>
"
2018-05-17 08:43:38,08:43:38,Thurs,8,An Update Regarding Your Visa Job Application,"
Dear Conor,
Thank you for giving us the opportunity to consider you for our Intern (Und=
ergrad) - Systems Analyst - Multiple Locations position.
We regret to inform you that we have filled this position with another appl=
icant. Our internship recruiting for this season is now complete. We will b=
egin our university recruiting efforts for the 2018-2019 season, starting i=
n September.&nbsp;
Best regards,Visa Talent Acquisition
"
2018-05-01 15:21:05,15:21:05,Tues,15,"Thank you for your interest in Zynga for Intern/Co-op Software
 Engineer - Current Students (Summer 2018)","<html><head>
<meta http-equiv=3DContent-Type content=3D""text/html; charset=3Dutf-8"">
<style>
.bodyblack { font-family: Verdana, Arial, Helvetica, sans-serif; font-size:=
 12px; }
td { font-size: 12px; }
.footer { font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10=
px; }
</style>
</head>
<body><table cellSpacing=3D""0"" cellPadding=3D""0"" width=3D""450"" border=3D""0""=
 class=3D""bodyblack""><tr><td>
<p>Dear Conor,<br /><br /> <br />Thank you for your interest in Zynga and t=
he Intern/Co-op Software Engineer - Current Students (Summer 2018) role. We=
=E2=80=99ve carefully reviewed your background and experience, and though w=
e do not have a position that is a strong match with your qualifications at=
 this time, we will be keeping your resume active in our system. We will co=
ntinue to use our database to match your profile with new opportunities and=
 will reach out to you if we find an opening for which you may be qualified=
.<br /> <br />Thanks again for your interest in a career at Zynga; we hope =
you will remain enthusiastic about our company. If you have any questions, =
please feel free to contact us.<br /> <br />Kind Regards,<br /> <br />The Z=
ynga Recruiting Team<br /><br />You can change your email preferences at:<b=
r /><a href=3D""https://app.jobvite.com/l?ksaH7RgwA"">https://app.jobvite.com=
/l?ksaH7RgwA</a></p></td></tr>
</table></body></html>"
2018-04-26 14:49:02,14:49:02,Thurs,14,Your Application with Cambia Health Solutions,"Dear Conor,
=C2=A0
Thank you for the interest you have expressed in the Data Science Product M=
anagement Internship=C2=A0and in employment with Cambia Health Solutions. =
=C2=A0Due to a change in operational objectives, this position has been can=
celled.=20

 We thank you for applying and encourage you to continue to apply for new j=
ob opportunities.=20

 Sincerely,
=C2=A0
<p style=3D""margin: 0px;""><strong><span style=3D""font-size: 10.5pt;"">Michel=
le Schwartz</span></strong></p><p style=3D""margin: 0px;""><span style=3D""fon=
t-size: 10.0pt;"">Manager, Diversity and University Programs</span></p><p st=
yle=3D""margin: 0px;""><span style=3D""font-size: 10.0pt;"">CAMBIA HEALTH SOLUT=
IONS </span></p><p style=3D""margin: 0px;""><span style=3D""font-size: 10.0pt;=
"">African American Employee Resource Group Member</span></p><p style=3D""mar=
gin: 0px;""><span style=3D""font-size: 10.0pt;"">CARE PC (Cambia And Regence E=
mployees Palliative Care) Employee Resource Group Member</span></p><p style=
=3D""margin: 0px;""><span style=3D""font-size: 10.0pt;"">Military Community Emp=
loyee Resource Group Member</span></p><p style=3D""margin: 0px;""><span style=
=3D""font-size: 10.0pt;"">PRIDE (Professionals Respecting Individuality Diver=
sity Equality) Employee Resource Group Member</span></p><p style=3D""margin:=
 0px;""><span style=3D""font-size: 10.0pt;"">Women&rsquo;s Employee Resource G=
roup Member</span></p><p style=3D""margin: 0px;""><span style=3D""font-size: 1=
0pt;"">Phone: 503-273-4132</span></p><p style=3D""margin: 0px;""><span style=
=3D""font-size: 10.0pt;"">michelle.schwartz@cambiahealth.com</span></p><p sty=
le=3D""margin: 0px;""><span style=3D""font-size: 10.0pt;"">http://www.cambiahea=
lth.com/careers </span></p>=C2=A0
=C2=A0
=C2=A0
=C2=A0
If you no longer wish to receive e-mail from=C2=A0Cambia Health Solutions, =
click here: https://cambiahealth.icims.com/icims2/?r=3D07AF49765&contactId=
=3D639144&hashed=3D1111649521.
=C2=A0


**************************************************
This message was sent to cdewey96@vt.edu. If you don't want to receive thes=
e emails from this company in the future, please go to:
https://cambiahealth.icims.com/icims2/?r=3D07AF49765&contactId=3D639144=20
"
2018-04-26 07:32:04,07:32:04,Thurs,7,"Your application for Data Scientist: Ads & Markets Analytics -
 Summer Internship - New York at Spotify.","<html><head>
<meta http-equiv=3DContent-Type content=3D""text/html; charset=3Dutf-8"">
<style>
.bodyblack { font-family: Verdana, Arial, Helvetica, sans-serif; font-size:=
 12px; }
td { font-size: 12px; }
.footer { font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10=
px; }
</style>
</head>
<body><table cellSpacing=3D""0"" cellPadding=3D""0"" width=3D""450"" border=3D""0""=
 class=3D""bodyblack""><tr><td>
<p>Hi Conor,<br /><br />Thank you for applying for the Data Scientist: Ads =
& Markets Analytics - Summer Internship - New York position. There are lots=
 of great internships out there, and we=E2=80=99re honored you applied for =
ours. <br /><br />We got a very large number of applications this year and =
unfortunately, we have decided to not move further with your application fo=
r this role. We=E2=80=99re sorry that because of the huge turnout we will n=
ot be able to give you any individual feedback.<br /><br />Please note that=
 if you applied for several different summer internships with us, you will =
get a separate reply for each one. <br /><br />Thank you once more for taki=
ng an interest in Spotify. There will be other opportunities here, and we h=
ope you will consider us again when they come up! <br /><br />May you alway=
s have music in your life,<br />The Spotify Recruiting Team<br /><br />www.=
spotifyjobs.com<br />facebook.com/spotifyjobs <br />linkedin.com/company/sp=
otify <br />instagram.com/spotifyjobs<br /><br />You can change your email =
preferences at:<br /><a href=3D""https://app.jobvite.com/l?ksaH7RgwA"">https:=
//app.jobvite.com/l?ksaH7RgwA</a></p></td></tr>
</table></body></html>"
2018-04-16 14:58:15,14:58:15,Mon,14,Your Uber Application,"=C2=A0=20
=C2=A0=20
=C2=A0
Hi=C2=A0Conor,=C2=A0
=C2=A0
Thank you for your interest in Uber.=C2=A0 At this time, we have filled the=
 remainder of our positions so we are no longer=C2=A0processing any applica=
tions. We appreciate the time you took to learn more about Uber and encoura=
ge you to consider us for future opportunities.
Regards,The=C2=A0University=C2=A0Recruiting Team
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=C2=A0
=20
=C2=A0=20
=C2=A0=20
=20
=20
=C2=A0


**************************************************
This message was sent to cdewey96@vt.edu. If you don't want to receive thes=
e emails from this company in the future, please go to:
https://uber.icims.com/icims2/?r=3D68CA1270832&contactId=3D12913846=20
"
2018-04-12 10:10:49,10:10:49,Thurs,10,Bazaarvoice - Data Analyst Intern,"Hi Conor,

Thank you for your interest in Bazaarvoice! At this time, we are no longer =
recruiting for the Data Analyst Intern opportunity and have closed the posi=
tion.

Let=92s keep the conversation going:

  *   Be proactive, keep an eye on our open jobs and take a few moments to =
reapply when you see an opportunity that interests you.
  *   Check us out on social media to learn more about our culture, product=
s, what it=92s like to work at Bazaarvoice and #liveBV!

We appreciate your interest in Bazaarvoice and wish you success in your job=
 search.

Best,

The Bazaarvoice Recruiting Team

"
2018-04-12 07:35:19,07:35:19,Thurs,7,Thank You for Your Interest in Expedia,"<!doctype html><html xmlns:o=""urn:schemas-microsoft-com:office:office"" xmlns:v=""urn:schemas-microsoft-com:vml"">
<head>
<META http-equiv=""Content-Type"" content=""text/html; charset=UTF-8"">
<title></title>
<style type=""text/css"">body, table {
  font-family: Verdana, Arial, sans-serif;
  font-size: 12px; width:100%;
}
div {
  padding-top:5px;
  padding-bottom:5px;
}
img 
{
  border:0px;
}</style>
</head>
<body><div>
Thank you for your interest in the R-23154 Data Science Intern (Evergreen) (Open) position. At this time, we have decided to pursue other candidates for this position.<br>
<br>We appreciate your application and your resume will be kept on file for future consideration. We encourage you to check our website frequently, as new positions become available on a regular basis. We wish you the very best in your career search.<br>
<br>Thank you,<br>
<br>The Expedia Recruiting Team
</div><div>
<br/>
</div><div>
Business Process: Job Application: Conor Dewey - R-23154 Data Science Intern (C-561072) on 10/04/2017
</div><div>
Subject: Conor Dewey - R-23154 Data Science Intern (C-561072)
</div><div>
<a href=""https://wd5.myworkday.com/expedia/email/inst/779$4976995/rel-task/2997$4086.htmld"">Click Here to view the notification details.</a>
</div>
	     <div>
	    <!--[if mso | IE]>
	      <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""600"" align=""center"" style=""width:600px;"">
	        <tr>
	          <td style=""line-height:0px;font-size:0px;mso-line-height-rule:exactly;"">
	      <![endif]-->
	    <div style=""margin:0 auto;max-width:600px;"">
	      <table cellpadding=""0"" cellspacing=""0"" style=""font-size:0px;width:100%;"" align=""center"" border=""0"">
	        <tbody>
	          <tr>
	            <td style=""text-align:center;vertical-align:top;font-size:0px;padding:20px 0px;""></td>
	          </tr>
	        </tbody>
	      </table>
	    </div>
	    <!--[if mso | IE]>
	      </td></tr></table>
	      <![endif]-->
	    <!--[if mso | IE]>
	      <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""600"" align=""center"" style=""width:600px;"">
	        <tr>
	          <td style=""line-height:0px;font-size:0px;mso-line-height-rule:exactly;"">
	      <![endif]-->
	    <div style=""margin:0 auto;max-width:600px;"">
	      <table cellpadding=""0"" cellspacing=""0"" style=""font-size:0px;width:100%;"" align=""center"" border=""0"">
	        <tbody>
	          <tr>
	            <td style=""text-align:center;vertical-align:top;font-size:0px;padding:20px 0px;""></td>
	          </tr>
	        </tbody>
	      </table>
	    </div>
	    <!--[if mso | IE]>
	      </td></tr></table>
	      <![endif]-->
      <!--[if mso | IE]>
	      <table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""600"" align=""center"" style=""width:600px;"">
	        <tr>
	          <td style=""line-height:0px;font-size:0px;mso-line-height-rule:exactly;"">
	      <![endif]--><div xmlns:wd=""urn:com.workday/bsvc"" style=""margin:0 auto;max-width:600px;"">
<table border=""0"" align=""center"" style=""font-size:0px;width:100%;"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td style=""text-align:center;vertical-align:top;font-size:0px;padding:20px 0px;"">
<!--[if mso | IE]>
	 <table border=""0"" cellpadding=""0"" cellspacing=""0""><tr><td style=""vertical-align:top;width:600px;"">
	      <![endif]-->
<div style=""vertical-align:top;display:inline-block;font-size:13px;text-align:left;width:100%;"" class=""mj-column-per-100"" aria-labelledby=""mj-column-per-100"">
<table border=""0"" width=""100%"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td align=""center"" style=""word-break:break-word;font-size:0px;padding-bottom:0px;"">
<div style=""cursor:auto;color:#98a0a6;font-family:Roboto;font-size:12px;font-weight:400;line-height:22px;"">This email was intended for cdewey96@vt.edu</div>
</td>
</tr>
</tbody>
</table>
</div>
<!--[if mso | IE]>
	      </td></tr></table>
	      <![endif]-->
</td>
</tr>
</tbody>
</table>
</div>
<!--[if mso | IE]>
	      </td></tr></table>
	      <![endif]-->
</body>
</html>
"
2018-04-11 11:21:49,11:21:49,Weds,11,Thanks for your Application!,"[<email.message.Message object at 0x10d3465f8>, <email.message.Message object at 0x10d0559b0>]"
